Model,MT-bench (score),Arena Elo rating,MMLU,License,Link
WizardLM-30B,7.01,-,0.587,Non-commercial,https://huggingface.co/WizardLM/WizardLM-30B-V1.0
Vicuna-13B-16k,6.92,-,0.545,Llama 2 Community,https://huggingface.co/lmsys/vicuna-13b-v1.5-16k
WizardLM-13B-v1.1,6.76,-,0.500,Non-commercial,https://huggingface.co/WizardLM/WizardLM-13B-V1.1
Tulu-30B,6.43,-,0.581,Non-commercial,https://huggingface.co/allenai/tulu-30b
Guanaco-65B,6.41,-,0.621,Non-commercial,https://huggingface.co/timdettmers/guanaco-65b-merged
OpenAssistant-LLaMA-30B,6.41,-,0.560,Non-commercial,https://huggingface.co/OpenAssistant/oasst-sft-6-llama-30b-xor
WizardLM-13B-v1.0,6.35,-,0.523,Non-commercial,https://huggingface.co/WizardLM/WizardLM-13B-V1.0
Vicuna-7B-16k,6.22,-,0.485,Llama 2 Community,https://huggingface.co/lmsys/vicuna-7b-v1.5-16k
Baize-v2-13B,5.75,-,0.489,Non-commercial,https://huggingface.co/project-baize/baize-v2-13b
XGen-7B-8K-Inst,5.55,-,0.421,Non-commercial,https://huggingface.co/Salesforce/xgen-7b-8k-inst
Nous-Hermes-13B,5.51,-,0.493,Non-commercial,https://huggingface.co/NousResearch/Nous-Hermes-13b
MPT-30B-Instruct,5.22,-,0.478,CC-BY-SA 3.0,https://huggingface.co/mosaicml/mpt-30b-instruct
Falcon-40B-Instruct,5.17,-,0.547,Apache 2.0,https://huggingface.co/tiiuae/falcon-40b-instruct
H2O-Oasst-OpenLLaMA-13B,4.63,-,0.428,Apache 2.0,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-13b
GPT-4,8.99,1181,0.864,Proprietary,https://openai.com/research/gpt-4
Claude-1,7.90,1155,0.770,Proprietary,https://www.anthropic.com/index/introducing-claude
Claude-2,8.06,1134,0.785,Proprietary,https://www.anthropic.com/index/claude-2
Claude-instant-1,7.85,1119,0.734,Proprietary,https://www.anthropic.com/index/introducing-claude
GPT-3.5-turbo,7.94,1115,0.700,Proprietary,https://openai.com/blog/chatgpt
WizardLM-70b-v1.0,7.71,1099,0.637,Llama 2 Community,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
Vicuna-33B,7.12,1092,0.592,Non-commercial,https://huggingface.co/lmsys/vicuna-33b-v1.3
Llama-2-70b-chat,6.86,1051,0.630,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
WizardLM-13b-v1.2,7.20,1047,0.527,Llama 2 Community,https://huggingface.co/WizardLM/WizardLM-13B-V1.2
Vicuna-13B,6.57,1041,0.558,Llama 2 Community,https://huggingface.co/lmsys/vicuna-13b-v1.5
MPT-30B-chat,6.39,1039,0.504,CC-BY-NC-SA-4.0,https://huggingface.co/mosaicml/mpt-30b-chat
Guanaco-33B,6.53,1031,0.576,Non-commercial,https://huggingface.co/timdettmers/guanaco-33b-merged
CodeLlama-34B-instruct,-,1031,0.537,Llama 2 Community,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf
Mistral-7B-Instruct-v0.1,6.84,1031,-,Apache 2.0,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1
Llama-2-13b-chat,6.65,1012,0.536,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf
PaLM-Chat-Bison-001,6.40,1002,-,Proprietary,https://cloud.google.com/vertex-ai/docs/generative-ai/learn/models#foundation_models
Vicuna-7B,6.17,997,0.498,Llama 2 Community,https://huggingface.co/lmsys/vicuna-7b-v1.5
Llama-2-7b-chat,6.27,985,0.458,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
Koala-13B,5.35,973,0.447,Non-commercial,https://bair.berkeley.edu/blog/2023/04/03/koala/
GPT4All-13B-Snoozy,5.41,959,0.430,Non-commercial,https://huggingface.co/nomic-ai/gpt4all-13b-snoozy
ChatGLM2-6B,4.96,945,0.455,Apache-2.0,https://huggingface.co/THUDM/chatglm2-6b
MPT-7B-Chat,5.42,938,0.320,CC-BY-NC-SA-4.0,https://huggingface.co/mosaicml/mpt-7b-chat
RWKV-4-Raven-14B,3.98,933,0.256,Apache 2.0,https://huggingface.co/BlinkDL/rwkv-4-raven
Alpaca-13B,4.53,914,0.481,Non-commercial,https://crfm.stanford.edu/2023/03/13/alpaca.html
OpenAssistant-Pythia-12B,4.32,905,0.270,Apache 2.0,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
ChatGLM-6B,4.50,892,0.361,Non-commercial,https://huggingface.co/THUDM/chatglm-6b
FastChat-T5-3B,3.04,884,0.477,Apache 2.0,https://huggingface.co/lmsys/fastchat-t5-3b-v1.0
StableLM-Tuned-Alpha-7B,2.75,853,0.244,CC-BY-NC-SA-4.0,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
Dolly-V2-12B,3.28,832,0.257,MIT,https://huggingface.co/databricks/dolly-v2-12b
LLaMA-13B,2.61,809,0.470,Non-commercial,https://arxiv.org/abs/2302.13971
