Model,MT-bench (score),Arena Elo rating,MMLU,License,Link
WizardLM-30B,7.01,-,0.587,Non-commercial,https://huggingface.co/WizardLM/WizardLM-30B-V1.0
Vicuna-13B-16k,6.92,-,0.545,Llama 2 Community,https://huggingface.co/lmsys/vicuna-13b-v1.5-16k
WizardLM-13B-v1.1,6.76,-,0.500,Non-commercial,https://huggingface.co/WizardLM/WizardLM-13B-V1.1
Tulu-30B,6.43,-,0.581,Non-commercial,https://huggingface.co/allenai/tulu-30b
Guanaco-65B,6.41,-,0.621,Non-commercial,https://huggingface.co/timdettmers/guanaco-65b-merged
OpenAssistant-LLaMA-30B,6.41,-,0.560,Non-commercial,https://huggingface.co/OpenAssistant/oasst-sft-6-llama-30b-xor
WizardLM-13B-v1.0,6.35,-,0.523,Non-commercial,https://huggingface.co/WizardLM/WizardLM-13B-V1.0
Vicuna-7B-16k,6.22,-,0.485,Llama 2 Community,https://huggingface.co/lmsys/vicuna-7b-v1.5-16k
Baize-v2-13B,5.75,-,0.489,Non-commercial,https://huggingface.co/project-baize/baize-v2-13b
XGen-7B-8K-Inst,5.55,-,0.421,Non-commercial,https://huggingface.co/Salesforce/xgen-7b-8k-inst
Nous-Hermes-13B,5.51,-,0.493,Non-commercial,https://huggingface.co/NousResearch/Nous-Hermes-13b
MPT-30B-Instruct,5.22,-,0.478,CC-BY-SA 3.0,https://huggingface.co/mosaicml/mpt-30b-instruct
Falcon-40B-Instruct,5.17,-,0.547,Apache 2.0,https://huggingface.co/tiiuae/falcon-40b-instruct
H2O-Oasst-OpenLLaMA-13B,4.63,-,0.428,Apache 2.0,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-13b
GPT-4-Turbo,9.32,1210,-,Proprietary,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
GPT-4,8.99,1159,0.864,Proprietary,https://openai.com/research/gpt-4
Claude-1,7.90,1146,0.770,Proprietary,https://www.anthropic.com/index/introducing-claude
Claude-2,8.06,1125,0.785,Proprietary,https://www.anthropic.com/index/claude-2
Claude-instant-1,7.85,1106,0.734,Proprietary,https://www.anthropic.com/index/introducing-claude
GPT-3.5-turbo,7.94,1103,0.700,Proprietary,https://openai.com/blog/chatgpt
WizardLM-70b-v1.0,7.71,1093,0.637,Llama 2 Community,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
Vicuna-33B,7.12,1090,0.592,Non-commercial,https://huggingface.co/lmsys/vicuna-33b-v1.3
Llama-2-70b-chat,6.86,1065,0.630,Llama 2 Community,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
OpenChat-3.5,7.81,1070,0.643,Apache-2.0,https://huggingface.co/openchat/openchat_3.5
WizardLM-13b-v1.2,7.20,1047,0.527,Llama 2 Community,https://huggingface.co/WizardLM/WizardLM-13B-V1.2
zephyr-7b-beta,7.34,1042,0.614,MIT,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
MPT-30B-chat,6.39,1031,0.504,CC-BY-NC-SA-4.0,https://huggingface.co/mosaicml/mpt-30b-chat
Vicuna-13B,6.57,1031,0.558,Llama 2 Community,https://huggingface.co/lmsys/vicuna-13b-v1.5
QWen-Chat-14B,6.96,1030,0.665,Qianwen LICENSE,https://huggingface.co/Qwen/Qwen-14B-Chat
falcon-180b-chat,-,1024,0.680,Falcon-180B TII License,https://huggingface.co/tiiuae/falcon-180B-chat
zephyr-7b-alpha,6.88,1024,-,MIT,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
CodeLlama-34B-instruct,-,1022,0.537,Llama 2 Community,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf
